slug,机型,最低价,典型价,最高价,价格备注,成色口径,市场,核价月份,状态
pentax-me-super,宾得 ME Super,500,750,1000,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
pentax-me,宾得 ME,400,550,700,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
pentax-mx,宾得 MX,800,1150,1500,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
pentax-spotmatic-sp,宾得 Spotmatic（SP）,300,450,600,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
bronica-etr,勃朗尼卡 ETR 系列,3000,4000,5000,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
fujifilm-ax-5,富士 AX-5,500,750,1000,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
fujifilm-ga645zi,富士 GA645Zi,6000,7500,9000,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
fujifilm-klasse-w,富士 Klasse W,3000,4000,5000,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
fujifilm-st-701,富士 ST-701,300,450,600,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
fujifilm-st-801-st-901,富士 ST-801 / ST-901,400,600,800,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
fujifilm-wide-300,富士 Wide 300,400,500,600,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
hasselblad-500,哈苏 500 系列,,,,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,待核价
seagull-4a,海鸥 4A,500,750,1000,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
canon-a-1,佳能 A-1,800,1150,1500,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
canon-ae-1-program,佳能 AE-1 Program,1000,1400,1800,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
canon-ae-1,佳能 AE-1,800,1150,1500,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
canon-eos-3,佳能 EOS 3,1000,1500,2000,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
canon-f-1,佳能 F-1,1500,2250,3000,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
canon-ftb-n,佳能 FTb-N,400,600,800,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
contax-aria,康泰时 Aria,2000,3000,4000,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
contax-g1,康泰时 G1,4000,5500,7000,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
contax-g2,康泰时 G2,,,,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,待核价
contax-rts,康泰时 RTS 系列,2000,3500,5000,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
contax-s2,康泰时 S2,3000,4500,6000,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
contax-t2,康泰时 T2,4000,5500,7000,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
contax-t3,康泰时 T3,15000,15000,,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
contax-tvs,康泰时 TVS,1500,2250,3000,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
konica-hexar-af,柯尼卡 Hexar AF,2000,3000,4000,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
konica-t3n,柯尼卡 T3N,400,600,800,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
konica-t4,柯尼卡 T4,400,600,800,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
leica-cm,徕卡 CM,8000,10000,12000,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
leica-m6,徕卡 M6,15000,20000,25000,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
leica-minilux,徕卡 Minilux,5000,6500,8000,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
leica-r6-r6-2,徕卡 R6 / R6.2,5000,7500,10000,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
ricoh-gr1s,理光 GR1s,3000,4000,5000,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
ricoh-gr21,理光 GR21,5000,6500,8000,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
ricoh-kr-5,理光 KR-5,300,450,600,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
ricoh-xr-2,理光 XR-2,500,650,800,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
rollei-3-5f,禄来 3.5F,7000,9500,12000,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
rollei-35,禄来 35,1000,1750,2500,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
rollei-sl35-sl35e,禄来 SL35 / SL35E,500,1000,1500,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
mamiya-7,玛米亚 7,10000,15000,20000,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
mamiya-rb67,玛米亚 RB67,3000,4000,5000,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
minolta-807si,美能达 807Si,200,350,500,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
minolta-srt-101,美能达 SRT-101,300,400,500,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
minolta-tc-1,美能达 TC-1,5000,6500,8000,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
minolta-x-1-xk-xm,美能达 X-1（XK/XM）,2000,3000,4000,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
minolta-x-700,美能达 X-700,800,1150,1500,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
minolta-7,美能达 α-7,900,900,,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
nikon-28ti,尼康 28Ti,5000,6500,8000,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
nikon-f-601,尼康 F-601,200,350,500,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
nikon-f2,尼康 F2,2500,3250,4000,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
nikon-f3,尼康 F3,2500,3250,4000,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
nikon-fe,尼康 FE,500,650,800,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
nikon-fe2,尼康 FE2,800,1150,1500,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
nikon-fg,尼康 FG,400,600,800,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
nikon-fm2,尼康 FM2,1500,2000,2500,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
nikon-nikkormat,尼康马特,400,600,800,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
yashica-35-gx,雅西卡 35 GX,600,600,,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
yashica-fr,雅西卡 FR 系列,500,750,1000,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
yashica-fx-3-super-2000,雅西卡 FX-3 Super 2000,300,400,500,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
yashica-t3-super,雅西卡 T3 Super,1000,1000,,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
kodak-fuji-funsaver,一次性相机,100,125,150,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
pearl-river-s-201,珠江 S-201,100,100,,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
praktica-super-tl1000,Praktica Super TL1000,300,450,600,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
zenit-e,Zenit E,100,200,300,,仅机身，功能正常，普通使用成色；不含镜头、包装、收藏溢价和待修机,中国大陆二手市场,2026-07,有效
